genre,genre_achievements_mean
"Action,Adventure,Indie,Casual,Simulation,Strategy,Early Access,RPG",NA
"Action,Adventure,Indie,Casual,Sports,Racing",NA
"Action,Adventure,Indie,Casual,Strategy",NA
"Action,Adventure,Indie,Casual,Strategy,Racing",NA
"Action,Adventure,Indie,Casual,Violent,RPG",NA
"Action,Adventure,Indie,Early Access",19.867924528301888
"Action,Adventure,Indie,Early Access,Casual",NA
"Action,Adventure,Indie,Early Access,Simulation,Casual,Massively Multiplayer,Strategy",NA
"Action,Adventure,Indie,Gore,Nudity",NA
"Action,Adventure,Indie,Massively Multiplayer",35
"Action,Adventure,Indie,Massively Multiplayer,Early Access",56
"Action,Adventure,Indie,Massively Multiplayer,Racing,RPG,Simulation,Early Access",NA
"Action,Adventure,Indie,Massively Multiplayer,Racing,Simulation,Strategy,Early Access",NA
"Action,Adventure,Indie,Massively Multiplayer,RPG",71.44444444444444
"Action,Adventure,Indie,Massively Multiplayer,RPG,Early Access",35.666666666666664
"Action,Adventure,Indie,Massively Multiplayer,RPG,Simulation",44
"Action,Adventure,Indie,Massively Multiplayer,RPG,Simulation,Early Access",25.666666666666668
"Action,Adventure,Indie,Massively Multiplayer,RPG,Simulation,Strategy",29
"Action,Adventure,Indie,Massively Multiplayer,RPG,Simulation,Strategy,Early Access",NA
"Action,Adventure,Indie,Massively Multiplayer,RPG,Sports,Early Access",NA
"Action,Adventure,Indie,Massively Multiplayer,RPG,Strategy",NA
"Action,Adventure,Indie,Massively Multiplayer,RPG,Strategy,Early Access",3
"Action,Adventure,Indie,Massively Multiplayer,Simulation",26
"Action,Adventure,Indie,Massively Multiplayer,Simulation,Audio Production,Early Access,Casual,Education,Software Training,Game Development",NA
"Action,Adventure,Indie,Massively Multiplayer,Simulation,Early Access",16.5
"Action,Adventure,Indie,Massively Multiplayer,Simulation,Strategy",15
"Action,Adventure,Indie,Massively Multiplayer,Simulation,Strategy,Early Access",45
"Action,Adventure,Indie,Massively Multiplayer,Strategy,Early Access",NA
"Action,Adventure,Indie,Movie,Audio Production",NA
"Action,Adventure,Indie,Nudity,Violent,Gore",NA
"Action,Adventure,Indie,Racing",23.583333333333332
"Action,Adventure,Indie,Racing,Casual",NA
"Action,Adventure,Indie,Racing,Casual,Strategy",NA
"Action,Adventure,Indie,Racing,Casual,Strategy,Violent",NA
"Action,Adventure,Indie,Racing,Early Access",NA
"Action,Adventure,Indie,Racing,RPG",NA
"Action,Adventure,Indie,Racing,RPG,Simulation,Early Access",NA
"Action,Adventure,Indie,Racing,RPG,Simulation,Strategy",NA
"Action,Adventure,Indie,Racing,RPG,Simulation,Strategy,Early Access",NA
"Action,Adventure,Indie,Racing,RPG,Sports",NA
"Action,Adventure,Indie,Racing,RPG,Strategy",8
"Action,Adventure,Indie,Racing,Simulation",38
"Action,Adventure,Indie,Racing,Simulation,Casual,Strategy",NA
"Action,Adventure,Indie,Racing,Simulation,Early Access",4
"Action,Adventure,Indie,Racing,Simulation,Sports",NA
"Action,Adventure,Indie,Racing,Simulation,Sports,Early Access",17
"Action,Adventure,Indie,Racing,Sports",15
"Action,Adventure,Indie,Racing,Sports,Strategy",60
"Action,Adventure,Indie,Racing,Strategy",41
"Action,Adventure,Indie,RPG",34.18957345971564
"Action,Adventure,Indie,RPG,Casual",NA
"Action,Adventure,Indie,RPG,Casual,Simulation,Violent,Strategy,Early Access",NA
"Action,Adventure,Indie,RPG,Casual,Strategy,Simulation",NA
"Action,Adventure,Indie,RPG,Early Access",26.58695652173913
"Action,Adventure,Indie,RPG,Massively Multiplayer,Strategy",NA
"Action,Adventure,Indie,RPG,Nudity,Casual,Sexual Content,Simulation,Early Access,Strategy,Massively Multiplayer,Animation & Modeling,Design & Illustration,Web Publishing",NA
"Action,Adventure,Indie,RPG,Simulation",27.285714285714285
"Action,Adventure,Indie,RPG,Simulation,Casual,Early Access",NA
"Action,Adventure,Indie,RPG,Simulation,Casual,Strategy",NA
"Action,Adventure,Indie,RPG,Simulation,Early Access",22.22222222222222
"Action,Adventure,Indie,RPG,Simulation,Sports",NA
"Action,Adventure,Indie,RPG,Simulation,Sports,Strategy",6
"Action,Adventure,Indie,RPG,Simulation,Strategy",38
"Action,Adventure,Indie,RPG,Simulation,Strategy,Early Access",32.25
"Action,Adventure,Indie,RPG,Simulation,Violent",NA
"Action,Adventure,Indie,RPG,Sports",NA
"Action,Adventure,Indie,RPG,Sports,Strategy,Early Access",NA
"Action,Adventure,Indie,RPG,Strategy",53.15151515151515
"Action,Adventure,Indie,RPG,Strategy,Casual",NA
"Action,Adventure,Indie,RPG,Strategy,Early Access",17.625
"Action,Adventure,Indie,RPG,Strategy,Early Access,Casual",NA
"Action,Adventure,Indie,RPG,Strategy,Early Access,Casual,Racing",NA
"Action,Adventure,Indie,RPG,Strategy,Early Access,Casual,Racing,Simulation,Sports",NA
"Action,Adventure,Indie,RPG,Strategy,Early Access,Simulation",NA
"Action,Adventure,Indie,RPG,Strategy,Free to Play",NA
"Action,Adventure,Indie,Sexual Content,Nudity,Violent,Gore",NA
"Action,Adventure,Indie,Simulation",140.5
"Action,Adventure,Indie,Simulation,Casual",NA
"Action,Adventure,Indie,Simulation,Casual,RPG,Racing,Strategy",NA
"Action,Adventure,Indie,Simulation,Casual,Sports",NA
"Action,Adventure,Indie,Simulation,Early Access",17.733333333333334
"Action,Adventure,Indie,Simulation,Early Access,Casual,Massively Multiplayer,Strategy",NA
"Action,Adventure,Indie,Simulation,Sports",NA
"Action,Adventure,Indie,Simulation,Strategy",23
"Action,Adventure,Indie,Simulation,Strategy,Early Access",12
"Action,Adventure,Indie,Simulation,Strategy,Massively Multiplayer",NA
"Action,Adventure,Indie,Simulation,Strategy,RPG,Casual",NA
"Action,Adventure,Indie,Simulation,Violent,Gore,Sexual Content,Nudity,Early Access",NA
"Action,Adventure,Indie,Sports",22.666666666666668
"Action,Adventure,Indie,Sports,Early Access",NA
"Action,Adventure,Indie,Strategy",167.52777777777777
"Action,Adventure,Indie,Strategy,Casual,Racing,Simulation,Massively Multiplayer,Violent,Gore",NA
"Action,Adventure,Indie,Strategy,Casual,RPG,Sexual Content",NA
"Action,Adventure,Indie,Strategy,Early Access",22
"Action,Adventure,Indie,Strategy,Simulation,RPG",NA
"Action,Adventure,Indie,Violent",NA
"Action,Adventure,Indie,Violent,Casual,Gore,Strategy,Racing",NA
"Action,Adventure,Indie,Violent,Gore",NA
"Action,Adventure,Indie,Violent,Gore,RPG",NA
"Action,Adventure,Massively Multiplayer",22.8
"Action,Adventure,Massively Multiplayer,Early Access",42
"Action,Adventure,Massively Multiplayer,RPG",14
"Action,Adventure,Massively Multiplayer,RPG,Early Access",61
"Action,Adventure,Massively Multiplayer,RPG,Simulation",NA
"Action,Adventure,Massively Multiplayer,RPG,Simulation,Early Access",29
"Action,Adventure,Massively Multiplayer,RPG,Simulation,Strategy",25
"Action,Adventure,Massively Multiplayer,RPG,Strategy",NA
"Action,Adventure,Massively Multiplayer,RPG,Strategy,Early Access",24
"Action,Adventure,Massively Multiplayer,Simulation",NA
"Action,Adventure,Massively Multiplayer,Simulation,Early Access",NA
"Action,Adventure,Massively Multiplayer,Simulation,Strategy,Early Access",2
"Action,Adventure,Massively Multiplayer,Strategy",NA
"Action,Adventure,Racing",47
"Action,Adventure,Racing,Early Access",NA
